exponent,min_runtime_new,min_runtime_old
397,6.450994987972081e-06,5.492899799719453e-05
398,6.0489983297884464e-06,5.539999983739108e-05
399,7.048991392366588e-06,5.5339987738989294e-05
400,5.319991032592952e-06,5.496999074239284e-05
401,5.9110025176778436e-06,5.490999319590628e-05
402,6.139991455711424e-06,5.5379990953952074e-05
403,6.419999408535659e-06,5.5190001148730516e-05
404,5.640002200379968e-06,5.490001058205962e-05
405,6.379996193572879e-06,5.4899996030144393e-05
406,5.759997293353081e-06,5.503000284079462e-05
407,6.649992428719997e-06,5.616999987978488e-05
408,5.930007318966091e-06,5.5850003263913095e-05
409,6.389993359334767e-06,5.639999289996922e-05
410,6.400005077011883e-06,5.7110009947791696e-05
411,6.639995262958109e-06,5.6769989896565676e-05
412,6.140006007626653e-06,5.6779987062327564e-05
413,6.789996405132115e-06,5.666998913511634e-05
414,6.949994713068008e-06,5.7810000726021826e-05
415,7.420007023029029e-06,5.67499955650419e-05
416,5.559995770454407e-06,5.796900950372219e-05
417,6.260001100599766e-06,5.761999636888504e-05
418,6.189991836436093e-06,6.136999581940472e-05
419,6.779999239370227e-06,5.883000267203897e-05
420,6.100002792663872e-06,6.05100067332387e-05
421,6.490008672699332e-06,5.950000195298344e-05
422,6.579997716471553e-06,5.9169993619434536e-05
423,6.909991498105228e-06,5.8640012866817415e-05
424,6.019996362738311e-06,5.588999192696065e-05
425,6.589994882233441e-06,5.950000195298344e-05
426,6.650006980635226e-06,5.992999649606645e-05
427,7.000009645707905e-06,5.918000533711165e-05
428,6.210000719875097e-06,5.987999611534178e-05
429,6.860005669295788e-06,5.954000516794622e-05
430,6.950998795218766e-06,5.998900451231748e-05
431,7.399998139590025e-06,6.0220001614652574e-05
432,5.959998816251755e-06,6.076000863686204e-05
433,6.560003384947777e-06,6.0529011534526944e-05
434,6.160000339150429e-06,6.070001109037548e-05
435,6.400005077011883e-06,6.238999776542187e-05
436,6.499991286545992e-06,6.0869992012158036e-05
437,6.560003384947777e-06,6.114000279922038e-05
438,6.610003765672445e-06,6.180000491440296e-05
439,7.009992259554565e-06,6.185000529512763e-05
440,6.550006219185889e-06,6.964900239836425e-05
441,7.63099524192512e-06,6.556999869644642e-05
442,6.999995093792677e-06,6.307999137789011e-05
443,7.68000609241426e-06,6.48099958198145e-05
444,7.130001904442906e-06,6.494999979622662e-05
445,7.319991709664464e-06,6.49699941277504e-05
446,7.099995855242014e-06,6.501999450847507e-05
447,7.979993824847043e-06,6.383999425452203e-05
448,5.809997674077749e-06,6.469000072684139e-05
449,5.919995601288974e-06,6.443000165745616e-05
450,6.290007149800658e-06,6.44000101601705e-05
451,6.889997166581452e-06,6.447000487241894e-05
452,6.28999259788543e-06,6.371000199578702e-05
453,6.739996024407446e-06,6.397999823093414e-05
454,6.6599895944818854e-06,6.375099474098533e-05
455,6.910006050020456e-06,6.51199952699244e-05
456,6.3490006141364574e-06,5.993999366182834e-05
457,6.02900399826467e-06,6.0389997088350356e-05
458,6.119997124187648e-06,6.037000275682658e-05
459,6.989997928030789e-06,6.206000398378819e-05
460,5.940004484727979e-06,6.255999323911965e-05
461,6.499991286545992e-06,6.478000432252884e-05
462,6.419999408535659e-06,6.531999679282308e-05
463,7.5499992817640305e-06,6.558001041412354e-05
464,6.9599918788298965e-06,7.545000698883086e-05
465,6.920003215782344e-06,7.637999078724533e-05
466,6.380010745488107e-06,7.140000525396317e-05
467,7.219990948215127e-06,7.124000694602728e-05
468,6.649992428719997e-06,6.543000927194953e-05
469,7.089998689480126e-06,6.780900002922863e-05
470,7.190988981164992e-06,6.408999615814537e-05
471,7.670008926652372e-06,6.812899664510041e-05
472,6.839996785856783e-06,7.682100113015622e-05
473,7.330992957577109e-06,6.77700008964166e-05
474,6.5699859987944365e-06,6.756999937351793e-05
475,7.740003638900816e-06,7.340000593103468e-05
